| Benchmark | Notes / Configuration | Gemini 3.1 Pro (Thinking: High) | Gemini 3 Pro (Thinking: High) | Gemini 3 Flash Thinking | Gemini 2.5 Pro Thinking | Gemini 2.5 Flash Thinking | Claude Sonnet 4.6 (Thinking: Max) | Claude Opus 4.6 (Thinking: Max) | Claude Sonnet 4.5 | Claude Opus 4.5 | Claude Haiku 4.5 | GPT-5.2 (xhigh) | GPT-5.2 (High) | GPT-5.2 (Med) | GPT-5.2 (Low) | GPT-5.2 (Minimal) | GPT-5.2 (Fast) | GPT-5.2 Codex (xhigh) | GPT-5.2 Codex (High) | GPT-5.2 Codex (Med) | GPT-5.2 Codex (Low) | GPT-5.2 Codex (Minimal) | GPT-5.2 Codex (Fast) | GPT-5.3 Codex (xhigh) | GPT-5.3 Codex (High) | GPT-5.3 Codex (Med) | GPT-5.3 Codex (Low) | GPT-5.3 Codex Fast (xhigh) | GPT-5.3 Codex Fast (High) | GPT-5.3 Codex Fast (Med) | GPT-5.3 Codex Fast (Low) | GPT-5.3 Codex Spark (xhigh) | GPT-5.3 Codex Spark (High) | GPT-5.3 Codex Spark (Med) | GPT-5.3 Codex Spark (Low) | GPT-5 Mini | GPT-4.1 | Grok 4.1 Fast Reasoning | Qwen 3 Max Thinking | Qwen 3.5 Plus | Qwen 3.5 (397B) | Qwen 3-VL | Qwen 3 Base | DeepSeek V3.2 | DeepSeek V3.2 Speciale | MiniMax M2.5 | MiniMax M2.1 | MiniMax M2 | Kimi K2.5 | Kimi K2 Thinking | GLM-5 | GLM-4.7 | GLM-4.7 Flash | GLM-4.5 | Step 3.5 Flash | GPT-OSS 120B | Devstral 2 |
| HMMT Nov 25 | Harvard-MIT Math Tournament | — | 93.3% / 93.0% | — | — | — | — | — | — | 91.7% / 93.3% | — | 100% / 97.1% | 89.2% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 94.7% | — | 92.7% | — | — | 90.2% | 94.4% | — | — | — | 91.1% | 89.2% | 96.9% | 93.5% | — | — | — | — | — |
| IMOAnswerBench | Math Olympiad reasoning | — | 83.3% | — | — | — | — | — | — | 78.5% | — | 86.3% | 76.0% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 83.9% | — | 80.9% | — | — | 78.3% | 84.5% | — | — | — | 81.8% | 78.6% | 82.5% | 82.0% | — | — | — | — | — |
| Codeforces | Elo / Codeforces Rating | 2887 | 2439 / 2708 | 2316 | 1775 | 1143 | — | — | 1418 / 1480 | — | — | 2393 | 2537 | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 2386 | 2701 | — | — | — | — | — | — | — | — | — | — | — | — |
| LiveCodeBench | Coding capability | — | 90.7% | — | — | — | — | — | — | 84.8% | — | 87.7% | 84.5% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 85.9% | — | 83.6% | — | — | 83.3% | 88.7% | — | — | — | 85.0% | 82.6% | — | — | — | — | — | — | — |
| SWE-bench Verified | Agentic coding (Single attempt) | 80.6% | 76.2% / 78.0% | 78.0% | 59.6% | 60.4% | 79.6% | 80.8% | 77.2% / 76.2% | 80.9% | — | 80.0% | 74.9% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 50.6% | 75.3% | — | 76.4% | — | — | 73.1% / 74.9% | — | 80.2% | 74.0% | — | 76.8% | — | 77.8% | 73.8% | — | — | 74.4% | — | — |
| SWE-bench Pro | Diverse agentic coding tasks | 54.2% | 43.3% | — | — | — | — | — | — | — | — | 55.6% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 55.4% | 49.7% | — | — | — | — | — | — | — | — | — | — |
| Multi-SWE-Bench | Multi-repo software engineering | — | 42.7% | — | — | — | — | 50.3% | — | 50.0% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 51.3% | 47.2% | — | — | — | — | — | — | — | — | — | — |
| SWE-bench Multilingual | Multilingual software engineering | — | 65.0% | — | — | — | — | 77.8% | — | 77.5% | — | 72.0% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 66.7% | — | 69.3% | — | — | 70.2% | — | 74.1% | 71.9% | — | 73.0% | — | 73.3% | 66.7% | — | — | — | — | — |
| Terminal-Bench 2.0 (Terminus) | Agentic terminal coding | 68.5% | 56.2% / 54.2% | 47.6% | 32.6% | 16.9% | 59.1% | 65.4% | 51.0% / 42.8% | 59.8% | — | 64.7% / 54.0% | 35.2% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 22.5% | — | 52.5% | — | — | 46.4% / 39.3% | — | 51.7% | 47.9% | — | 50.8% | — | 56.2% | 41.0% | — | — | 51.0% | — | — |
| OSWorld-Verified | Agentic computer use | — | — | — | — | — | 72.5% | 72.7% | 61.4% | 66.3% | — | 38.2% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 38.1% | — | 62.2% | — | — | — | — | 63.3% | — | — | — | — | — | — | — | — | — | — |  |
| OSWorld Web Subset | Specific split | — | 28.5% | — | — | — | — | 40.7% | — | 37.8% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 36.9% | 31.9% | — | — | — | — | — | — | — | — | — | — |
| OSWorld Sim Subset | Specific split | — | 67.7% | — | — | — | — | 81.2% | — | 78.8% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 81.4% | 73.1% | — | — | — | — | — | — | — | — | — | — |
| OSWorld Android Subset | Specific split | — | 33.1% | — | — | — | — | 54.9% | — | 58.4% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 50.6% | 36.0% | — | — | — | — | — | — | — | — | — | — |
| OSWorld iOS Subset | Specific split | — | 18.1% | — | — | — | — | 45.7% | — | 45.7% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 47.9% | 28.8% | — | — | — | — | — | — | — | — | — | — |
| τ2-bench (General) | Agentic tool use | 90.8% | 85.4% / 90.7% | 90.2% | 77.8% | 79.5% | — | — | 84.7% / 87.2% | — | — | 85.5% / 87.1% | 80.2% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 84.6% | — | 86.7% | — | — | 80.3% / 85.3% | — | 76.9% / 77.0% | — | 76.9% | 80.2% | 74.3% | 89.7% | 87.4% | — | — | 88.2% | — | — |
| τ2-bench (Retail) | Agentic tool use | 90.8% | 85.3% | — | — | — | 91.7% | 91.9% | 86.2% | 88.9% | — | 82.0% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — |
| τ2-bench (Telecom) | Agentic tool use | 99.3% | 98.0% | — | — | — | 97.9% | 99.3% | 98.0% | 98.2% | — | 98.7% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 97.8% | 87.0% | — | — | — | — | — | — | — | — | — |
| MCP Atlas Public Set | Multi-step workflows | 69.2% | 66.6% / 54.1% | 57.4% | 8.8% | 3.4% | 61.3% | 59.5% | 43.8% | 65.2% / 62.3% | — | 68.0% / 60.6% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 62.2% | — | — | — | — | 63.8% | — | 67.8% | 52.0% | — | — | — | — | — |
| MCP-Universe | Advanced agent capabilities | — | 50.7% | — | — | — | — | — | 46.5% | — | — | — | 47.9% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 45.9% | — | 29.4% | — | 29.4% | — | 35.6% | — | — | — | — | — | — | — |
| MCP-Mark | GitHub MCP server | — | 43.1% / 53.9% | — | — | — | — | — | 33.3% | 42.3% | — | 57.5% | 50.9% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 33.5% | — | 46.1% | — | — | 38.0% | — | 24.4% | — | 24.4% | 29.5% | 20.4% | — | — | — | — | — | — | — |
| Toolathlon | Versatile tool use scenarios | — | 36.4% | 49.4% | 10.5% | 3.7% | — | — | 38.9% / 38.6% | 43.5% | — | 46.3% / 43.8% | 29.0% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 18.8% | — | 38.3% | — | — | 35.2% | — | 16.0% | — | 16.0% | 27.8% | 17.6% | 39.2% | 23.8% | — | — | — | — | — |
| BrowseComp | Agentic search | 85.9% | 59.2% / 37.8% | — | — | — | 74.7% | 84.0% | 43.9% | 67.8% / 37.0% | — | 77.9% / 65.8% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 53.9% | — | 78.6% | — | — | 51.4% | — | 76.3% | — | — | 60.6% | — | 62.0% | 52.0% | — | — | — | — | — |
| BrowseComp (w/ctx) | Context Managed Search | — | 59.2% | — | — | — | — | 84.0% | — | 67.8% | — | 65.8% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 67.6% | — | 76.3% | 62.0% | — | 74.9% | — | 75.9% | 67.5% | — | — | — | — | — |
| BrowseComp-zh | Agentic search (Chinese) | — | 66.8% | — | — | — | — | — | — | 62.4% | — | 76.1% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 60.9% | — | 70.3% | — | — | 65.0% | — | — | — | — | 62.3% | — | 72.7% | 66.6% | — | — | — | — | — |
| Wide Search | 256k context search | — | 57.0% | — | — | — | — | 79.4% | — | 76.2% | — | 76.8% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 57.9% | — | 74.0% | — | — | — | — | 70.3% | 63.2% | — | 72.7% | — | — | — | — | — | — | — | — |
| RISE | Advanced Search | — | 36.8% | — | — | — | — | 62.5% | — | 50.5% | — | 50.0% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 50.2% | 34.0% | — | — | — | — | — | — | — | — | — | — |
| BFCL multi-turn | Multi-turn Function calling | — | 61.0% | — | — | — | — | 63.3% | — | 68.0% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 76.8% | 37.4% | — | — | — | — | — | — | — | — | — | — |
| Vending Bench 2 | Agentic net worth | — | $5478 | $3635 | $574 | $549 | — | — | $3839 | $4967 | — | $3591 / $3952 | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | $1107 | — | — | — | — | — | $1034 | — | — | — | — | $1198 | — | $4432 | $2376 | — | — | — | — | — |
| Finance Agent v1.1 | Agentic financial analysis | — | 55.2% | — | — | — | 63.3% | 60.1% | 54.5% | 58.8% | — | 59.0% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — |
| Finance Modeling | Financial chart modeling | — | 15.0% | — | — | — | — | 33.2% | — | 30.1% | — | 20.0% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 21.6% | 17.3% | — | — | — | — | — | — | — | — | — | — |
| GDPval-AA Elo | Expert office tasks | 1633 | 1201 | — | — | — | 1633 | 1606 | 1276 | 1416 | — | 1462 | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — |
| GDPval-MM | Multimodal expert office | — | 28.1% | — | — | — | — | 73.5% | — | 61.1% | — | 54.5% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 59.0 | 24.6 | — | — | — | — | — | — | — | — | — | — |
| MEWC | Broad office capabilities | — | 78.7% | — | — | — | — | 89.8% | — | 82.1% | — | 41.3% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 74.4 | 55.6 | — | — | — | — | — | — | — | — | — | — |
| VIBE-Pro (AVG) | Visual Integration Bench | — | 36.9% | — | — | — | — | 55.6% | — | 55.2% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 54.2% | 42.4% | — | — | — | — | — | — | — | — | — | — |
| SciCode | Scientific research coding | 59.0% | 56.0% | — | — | — | — | 52.0% | 45.0% | 50.0% | — | 52.0% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 44.4% | 41.0% | — | — | — | — | — | — | — | — | — | — |
| IFBench | Instruction Following | — | 70.0% | — | — | — | — | 53.0% | 57.0% | 58.0% | — | 75.0% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 70.0% | 70.0% | — | — | — | — | — | — | — | — | — | — |
| AA-LCR | Long Context Retrieval | — | 71.0% | — | — | — | — | 71.0% | 66.0% | 74.0% | — | 73.0% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 69.5% | 62.0% | — | — | — | — | — | — | — | — | — | — |
| MMMU-Pro (No tools) | Multimodal reasoning | 80.5% | 81.0% | 81.2% | 68.0% | 66.7% | 74.5% | 73.9% | 63.4% / 68.0% | 70.6% | — | 79.5% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 63.0% | 69.3% | — | 79.0% | 69.3% | — | — | — | 78.5% | — | — | — | — | — | — | — | — | — | — |  |  |
| MMMU-Pro (With tools) | Multimodal reasoning | — | — | — | — | — | 75.6% | 77.3% | 68.9% | 73.9% | — | 80.4% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — |
| MMMLU | Multilingual Q&A | 92.6% | 91.8% | 91.8% | 89.5% | 86.6% | 89.3% | 91.1% | 89.1% / 89.5% | 90.8% | — | 89.6% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 86.8% | 84.4% | — | 88.5% | — | 81.27% | 83.20% | — | — | — | — | 86.0% | 82.26% | — | — | — | 82.26% | — | — | — |  |
| ScreenSpot-Pro | Screen understanding | — | 72.7% | 69.1% | 11.4% | 3.9% | — | — | 36.2% | 45.7% | — | 86.3% (py) | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 62.0% | — | 65.6% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — |
| CharXiv Reasoning | Complex charts synthesis | — | 81.4% | 80.3% | 69.6% | 63.7% | — | — | 68.5% | — | — | 82.1% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — |  |
| OmniDocBench 1.5 | OCR / Edit Distance | — | 0.115 | 0.121 | 0.145 | 0.154 | — | — | 0.145 | 87.7% | — | 0.143 | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 90.8% | 84.5% | — | — | — | — | — | — | — | — | — | — | — | — | — | — |  |
| Video-MMMU | Knowledge from videos | — | 87.6% | 86.9% | 83.6% | 79.2% | — | — | 77.8% | — | — | 85.9% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — |  |
| FACTS Benchmark | Factuality across mods | — | 70.5% | 61.9% | 63.4% | 50.4% | — | — | 48.9% | — | — | 61.4% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 42.1% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — |
| SimpleQA Verified | Parametric knowledge | — | 72.1% | 68.7% | 54.5% | 28.1% | — | — | 29.3% | — | — | 38.0% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 19.5% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — |
| Global PIQA | Commonsense (100 Langs) | — | 93.4% | 92.8% | 91.5% | 90.2% | — | — | 90.1% | 91.6% | — | 91.2% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 85.6% | 86.0% | — | 89.8% | — | — | — | — | — | — | — | 89.3% | — | — | — | — | — | — | — | — |
| MRCR v2 (128k) | Long context (average) | 84.9% | 77.0% | 67.2% | 58.0% | 54.3% | — | — | 47.1% | — | — | 81.9% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 54.6% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — |
| MRCR v2 (1M) | Long context (pointwise) | 26.3% | 26.3% | 22.1% | 16.4% | 21.0% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | 6.1% | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — | — |
